question,answer_llm,answer_orig,document
How can I check whether one set of field weights is better than another in search?,"You can check this by **evaluating both weight settings against a ground-truth dataset**.

A good process is:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Test the two field-weight configurations.
4. Compare retrieval metrics like **hit rate, precision@k, recall@k, or MRR**.

That’s the reliable way to tell which set of weights is better. For small projects, trial and error can help, but evaluation is the better approach.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What metrics should I look at when evaluating field weights for retrieval?,"Look at retrieval metrics such as:

- hit rate
- precision@k
- recall@k
- MRR

A good approach is to evaluate different field weights against a small ground-truth dataset of representative questions and known relevant documents.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"What’s the best way to clean documents before using them in RAG, and what kind of junk should I remove?","The best way is to make the documents **clean, structured, and easy to chunk and retrieve**.

Remove obvious junk like:
- broken HTML
- duplicate text
- boilerplate
- OCR errors
- repeated headers
- repeated footers

At the same time, **keep useful context** such as:
- titles
- section names
- dates
- page numbers
- speaker names
- Q&A structure

Then store the cleaned text in a structured format, chunk it so related context stays together, and keep useful metadata for filtering or ranking later.

The goal is not just to shorten the text, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Should I keep things like titles, dates, page numbers, and speaker names when preparing data for retrieval?","Yes — you should keep useful context like titles, dates, page numbers, speaker names, and Q&A structure when preparing data for retrieval.

The goal is to remove noise, not to strip away information that may help retrieval and ranking.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Do I need to convert my source files into JSON for RAG, or can I use a different format?",I don't know.,"Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
How should I chunk documents so that retrieval still keeps the right context together?,"Chunk documents so that **related context stays together** rather than splitting it arbitrarily.

From the course guidance:
- keep **titles, section names, dates, page numbers, speaker names, and Q&A structure** with the text they belong to
- remove noise first, then chunk the cleaned text
- use a structure that makes it easy to process and retrieve, and
- keep useful metadata.

So the goal is **not just smaller chunks**, but **chunks that preserve meaning and context** so retrieval returns complete, relevant pieces.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
What metadata is actually useful to save for later filtering or ranking in a RAG pipeline?,"Useful metadata is anything that may help you **filter or rank chunks later**. The context gives examples of:

- **Titles**
- **Section names**
- **Dates**
- **Page numbers**
- **Speaker names**
- **Q&A structure**

In general, save metadata that preserves useful context and helps retrieval accuracy. The exact choice depends on your source data.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"I keep seeing “Failed to hardlink files” in GitHub Codespaces when using uv — is something actually broken, or can I ignore it?","No — in GitHub Codespaces this warning usually means `uv` couldn’t **hardlink** files from its cache, so it **falls back to copying** them instead. The package still installs, so it’s generally safe to ignore.

If you want to suppress the warning, run:

```bash
export UV_LINK_MODE=copy
```

To make it permanent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"Why does uv warn about hardlinking in Codespaces, but the install still seems to work anyway?","Because `uv` is trying to **hardlink** files from its cache into the project environment, but in GitHub Codespaces that often isn’t possible. When that happens, `uv` shows a warning and **falls back to copying the files instead**.

So it’s **not an error** — the package still installs successfully.

If you want to suppress the warning, you can set:

```bash
export UV_LINK_MODE=copy
```

For a permanent setting:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
How can I stop uv from showing the hardlink warning in my current shell session?,"Set:

```bash
export UV_LINK_MODE=copy
```

This suppresses the hardlink warning for the current shell session.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What do I need to add to make uv use copy mode every time I open a Codespaces terminal?,"Add this to your shell startup file, for example `~/.bashrc`:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

That makes `uv` use copy mode every time you open a Codespaces terminal.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
Is there a recommended uv setting for Codespaces when hardlinking between the cache and the target environment doesn’t work?,"Yes: set `UV_LINK_MODE=copy`.

For example, to suppress the warning in the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"Why do I get ""dotenv is not recognized"" and what package should I install to fix it?","It usually means Python can’t find the `dotenv` module because the package isn’t installed.

Install **`python-dotenv`** to fix it:

```bash
uv add python-dotenv
```

Or with pip:

```bash
pip install python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What do I need to add with uv so that `from dotenv import load_dotenv` works?,"Add `python-dotenv` with uv:

```bash
uv add python-dotenv
```

Then this will work:

```python
from dotenv import load_dotenv
```

","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"Is `dotenv` part of Python, or do I have to install something like `python-dotenv` first?","`dotenv` is **not** part of Python by itself. You need to install **`python-dotenv`** first.

For example:

```bash
pip install python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"After installing the package, how do I load my `.env` file in Python?","Use `python-dotenv` and call:

```python
from dotenv import load_dotenv

load_dotenv()
```

This loads your `.env` file from the project root.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What’s the right command to use if `dotenv` isn’t available in my environment?,"Use:

```bash
uv add python-dotenv
```

Then in Python:

```python
from dotenv import load_dotenv
load_dotenv()
```

If you’re in a notebook, the equivalent install command is:

```bash
pip install python-dotenv
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,"Yes. You can run the course locally instead of using Codespaces.

Codespaces is just the easiest way to get everyone started in the same environment. If you run locally, you’ll need to set up Python, `uv`, Jupyter, Docker, and any other tools required for the module. Make sure to document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Is Codespaces required, or can I just set everything up locally?","No—Codespaces is not required. You can set everything up locally if you’re comfortable installing and managing the needed tools yourself, like Python, `uv`, Jupyter, Docker, and any other module-specific dependencies.

Codespaces is just the easiest way to start with the same environment. If you go local, just make sure your setup is documented and reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
What do I need installed if I want to follow the course without Codespaces?,"If you want to follow the course locally instead of using Codespaces, you need to have:

- Python
- `uv`
- Jupyter
- Docker
- any other tools needed for the module

If you run locally, you should also document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Do I have to use the same environment as everyone else, or can I use my own local setup?","Yes — you can use your own local setup. Codespaces is just the easiest way for everyone to start with the same environment.

If you run locally, make sure you can set up the needed tools yourself, such as Python, `uv`, Jupyter, Docker, and anything else required for the module, and keep the setup reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I run the module locally, should I keep notes on how I set it up?","Yes — if you run the module locally, you should document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I just save files in Codespaces but never commit them, where do they actually live?",They live inside the Codespaces Linux VM.,"The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Do I lose my work in GitHub Codespaces if I close it without committing first?,"No—if you close a Codespace without committing, your uncommitted changes are still saved inside the Codespaces Linux VM. But you should commit regularly, because Codespaces can stop, disconnect, be deleted, or be recreated later, and uncommitted changes can be lost in those cases.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Is code in Codespaces stored somewhere on the VM even when I haven’t pushed it yet?,"Yes. Code saved in Codespaces is stored inside the Codespaces Linux VM even if you haven’t pushed it yet.

That said, you should still commit and push regularly, because uncommitted work can be lost if the codespace is stopped, deleted, or recreated.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why should I keep committing in Codespaces if the files are already saved there?,"Even if your files are saved in Codespaces, they are only stored inside the Codespaces Linux VM. If Codespaces stops, disconnects, or gets deleted, that work can be lost.

Committing regularly saves your work to your GitHub repository, so it’s backed up and preserved outside the Codespaces environment.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What happens to uncommitted work in a Codespaces Linux VM if the Codespace stops or gets deleted?,"Uncommitted work is stored in the Codespaces Linux VM, but if the Codespace stops and later gets deleted or recreated, that uncommitted work is lost. Commit and push regularly to keep your work in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say the model needs more system memory even though my Windows machine has enough RAM?,"WSL2 only sees the memory allocated to WSL, not all the RAM in your Windows machine.

So even if Windows has enough RAM overall, WSL2 may be limited to a smaller amount like `Y.Y GiB`, which is why the model reports not enough system memory.

To fix it, increase WSL2’s RAM allocation with a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

Example:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

You can verify the change with `free` inside WSL.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I make WSL2 use more memory for running a model that needs a bigger RAM limit?,"Your WSL2 is likely limited to only part of your machine’s RAM. To give it more memory:

1. Create a file named `.wslconfig` in your Windows user profile directory, for example:
   `C:\Users\YourUsername\.wslconfig`

2. Add something like this:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. Open WSL again and run:
   ```bash
   free
   ```
   to confirm the new memory limit.

If you need more or less RAM, just change the `memory=` value.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where do I put a .wslconfig file to increase RAM for WSL2 on Windows?,"Put the `.wslconfig` file in your Windows user profile directory:

```text
C:\Users\YourUsername\.wslconfig
```

Then add your RAM setting there, for example:

```ini
[wsl2]
memory=8GB
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What should the .wslconfig look like if I want to set WSL2 memory to 8GB?,"```ini
[wsl2]
memory=8GB
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, how do I restart it and check that the new RAM limit is active?","Restart WSL with:

```bash
wsl --shutdown
```

Then open WSL again and check the RAM limit with:

```bash
free
```

This should show the new memory allocation is active.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"Why does my GitHub Codespace keep getting stuck on ""Finishing up"" and what can I try to get it to reconnect?","GitHub Codespaces can sometimes get stuck on **“Finishing up”** because of **Codespaces reliability issues**, not because of the course itself. There isn’t one guaranteed fix, but these workarounds solve most cases:

1. Go to **github.com/codespaces**, then **stop** the codespace and **start it again**.
2. If it still won’t reconnect, try opening it in the **browser** instead of desktop VS Code.
3. Try a different browser, such as **Edge, Chrome, or Brave**.
4. As a last resort, **delete the codespace and create a new one**.

If your setup seems to have disappeared, that can happen because a **rebuild or brand-new codespace starts from a clean image**, and system/global installs outside your project may not persist. Your repo in `/workspaces` should persist across stop/start, and **committed work** is safest.

If Codespaces keeps being flaky, you can also consider running the course **locally instead of in Codespaces**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there a browser workaround or should I switch browsers?","Yes — if VS Code desktop won’t open your Codespace, you can open it in the **browser** instead. If that still doesn’t work, try a different browser such as **Edge, Chrome, or Brave**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What should I do if my setup or installs seem to disappear after a rebuild or after making a new Codespace?,"If your setup or installs disappear after a rebuild or after creating a brand-new Codespace, that’s expected: a rebuild or new Codespace starts from a clean image, and system/global installs outside your project may not survive.

What to do:
- Reinstall what you need in the Codespace
- Use `uv sync` / `uv add ...` to restore dependencies quickly
- Commit and push your work often, because uncommitted changes are lost if you delete or recreate the Codespace

","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Do files in /workspaces survive when I stop and start a Codespace again, or can they get wiped?","The repo in `/workspaces` persists across stop/start, so files there should survive when you stop and start a Codespace again.

What can get lost is:

- **Uncommitted changes** if you **delete/recreate** the codespace
- **System/global installs** outside your project if the codespace is **rebuilt** or you create a **brand-new codespace**

So: `/workspaces` itself survives stop/start, but always **commit and push your work often** to be safe.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"What’s the safest way to avoid losing changes in Codespaces, and when should I just delete it and make a fresh one?","The safest way to avoid losing changes in Codespaces is to **commit and push your work regularly**. Uncommitted changes may survive a stop/start, but they can be lost if you **delete, recreate, or rebuild** the codespace.

You should **delete it and make a fresh one** when:
- Codespaces is acting flaky, for example it’s stuck on **“Finishing up”**
- restarting it doesn’t fix the issue
- opening it in the browser or another browser still doesn’t help
- you want a clean environment because the setup has gone missing or become messy

As a rule of thumb: **commit often**, and if the codespace is unreliable, **delete and recreate it as a last resort**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Can I swap OpenAI for another LLM provider in the RAG homework, or is the course locked to OpenAI only?","Yes — you can swap OpenAI for another LLM provider in the RAG homework. The course is **not locked to OpenAI**.

You can use providers like:
- Gemini
- Groq
- OpenRouter
- Azure OpenAI
- local models
- other OpenAI-compatible providers

You may need to adapt the code a bit, since response formats, tool schemas, and tokenizers can differ. Also, the homework is designed so you **don’t need a paid service**.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
