question,document
"Why am I getting a psycopg2 OperationalError saying it can’t translate the host name ""postgres"" when I run `python prep.py`, and what should I change in my `.env` file?",4b65d5542d
"My script fails with `could not translate host name ""postgres"" to address` in Module 5 Monitoring. Is the fix just setting the database host to localhost?",4b65d5542d
"When I execute `prep.py`, psycopg2 throws an OperationalError about the `postgres` host not being found. What environment variable needs to be updated?",4b65d5542d
How do I stop the `No such host is known` error for `postgres` while preparing the database in the monitoring module?,4b65d5542d
I’m stuck with a connection error from psycopg2 because `postgres` can’t be resolved. What should `POSTGRES_HOST` be set to instead?,4b65d5542d
How do I make Pandas stop cutting off long text in a column and show the full content?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the complete Explanation text from the judge LLM instead of the shortened version?",641aedbbf5
What Pandas setting should I change to view full strings in dataframe columns without the ... truncation?,641aedbbf5
"Why does Pandas only show about 50 characters in my text column, and how do I remove that limit?",641aedbbf5
Is there a way to display the entire Explanation column output in Pandas when checking LLM-as-judge results?,641aedbbf5
How do I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to normalize each item in a Pandas Series if the values are vectors?,5039707c1a
"Can I use apply() to normalize vectors in a DataFrame column, and what would that look like?",5039707c1a
How do I divide each vector in a Pandas column by its own norm?,5039707c1a
Is there a simple one-liner for normalizing vectors inside a Pandas column?,5039707c1a
How do I get the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What's the Pandas way to calculate the 0.75 quantile of a Series?,b4c8ac5a0c
How can I find a column's percentile value in Pandas without writing a custom function?,b4c8ac5a0c
"In Pandas, what code gives the 75% quantile for one DataFrame column?",b4c8ac5a0c
"How do I compute a percentile on a DataFrame column using df[""col""].quantile()?",b4c8ac5a0c
"How do I wipe out every Docker container, even the ones still running, from the terminal?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete all Docker volumes using one terminal command?,66ccbb7da0
Is there a quick way to clear every container and image in Docker from the CLI?,66ccbb7da0
"What shell commands should I run if I want to remove all Docker containers, images, and volumes?",66ccbb7da0
"How can I make sure a user can only send feedback once per submission, like only +1 or -1?",2e729f1271
"In Streamlit, why does `st.session.submitted` get set back to True even after I click a feedback button?",2e729f1271
What’s the best way to disable the feedback buttons after I submit text with the ask button?,2e729f1271
My session state keeps changing on its own after one feedback click — how do I stop `st.session.submitted` from being reassigned?,2e729f1271
Is there a known fix for Streamlit session attributes being reset when handling submission and feedback buttons?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my app with docker-compose, even though it works outside Docker?",e8df9f0d12
What should I check in my Docker setup if `docker-compose` fails to run a Streamlit app with an OCI runtime error?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app to work properly in docker-compose?,e8df9f0d12
How can I fix the `failed to create task for container` error when docker-compose can’t find the `streamlit` command?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I use to rebuild the container and start it again?",e8df9f0d12
"Can the capstone be done as a group, or does each person need to submit their own project?",0fab61eca2
"If we brainstorm or work together on an idea, is that still okay for the capstone?",0fab61eca2
"Can two students use the same system for their capstone, or does it have to be separate?",0fab61eca2
How do we make sure a shared project is counted as individual work for each person?,0fab61eca2
"If my part can’t be evaluated on its own, does it still qualify for the capstone?",0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What do attempt #1 and attempt #2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
Can I skip the first deadline and just submit in the second window?,d5fc98925d
"If I decide to do two projects, do they have to be on different datasets and use different problem statements?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
"Is the Kaggle LLM competition allowed for group work, even though the capstone is solo?",e892d44e42
"If I join the math Kaggle LLM competition, does that automatically count toward the capstone requirement?",e892d44e42
"Are we supposed to do the capstone individually, or can it be done in a team like the competition?",e892d44e42
What’s the relationship between the competition and the capstone in this section?,e892d44e42
How will my capstone project be graded in this course?,9a2e2d2008
"Who actually reviews the capstone submission, and how many people are involved?",9a2e2d2008
"Do I need to evaluate other students’ projects too, or only submit my own?",9a2e2d2008
What happens if I skip the required peer-review part for capstone projects?,9a2e2d2008
How is the final capstone score calculated from the reviewers’ grades?,9a2e2d2008
"After the capstone submission deadline passes, how are the projects for review or grading assigned to each participant?",eae0fb50aa
Will we get a list or spreadsheet with the projects we need to review once submissions are closed?,eae0fb50aa
"How many capstone projects does each participant need to grade, and when do we find out which ones?",eae0fb50aa
"Do project review assignments happen before or after the deadline, and what format are they shared in?",eae0fb50aa
"Once the project deadline is over, what’s the process for assigning reviews to students?",eae0fb50aa
"I already turned in my capstone project, so why am I not seeing anything to review yet?",a8a7fef016
When do the projects get assigned for evaluation after the submission deadline ends?,a8a7fef016
"Can I pick which student projects I want to review, or is it automatically assigned?",a8a7fef016
Why is the project review list still empty even though I submitted mine already?,a8a7fef016
"Am I supposed to review projects before the release, or do I have to wait until they’re assigned?",a8a7fef016
Where can I find some project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with dataset suggestions and ideas for the project?,e76a70cde3
"What’s the best place to look for tips, guidelines, and possible datasets for the capstone?",e76a70cde3
Do you have a link with some good project ideas I can use for the LLM Zoomcamp capstone?,e76a70cde3
Where should I check if I need inspiration or a dataset for my project?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing in plain Python, will that still count for full points on the ingestion pipeline part?",d4f7c08ea1
How many points do I get if I do the same ingestion pipeline in a Jupyter notebook instead of a script?,d4f7c08ea1
"Should I add an orchestration tool just to satisfy the capstone requirements, or only when it makes sense for the project?",d4f7c08ea1
"When would it be worth using an orchestrator in the capstone, like for a feed that needs daily updates?",d4f7c08ea1
How can I test a recommender-style RAG when there isn’t any clear ground truth Q&A data?,9b0e2d6a47
What’s a good way to make fake evaluation data for item retrieval in a recommender RAG project?,9b0e2d6a47
"How do you measure whether my retriever ranks the right item near the top, not just anywhere in the list?",9b0e2d6a47
Is there a way to use an LLM to judge the quality of full RAG answers for this kind of project?,9b0e2d6a47
"For ranking problems with several acceptable results, should I use hit rate or NDCG for evaluation?",9b0e2d6a47
How should I split a huge PDF corpus for RAG if I don't want to spend forever tuning the chunker first?,6f2a8b3d10
"Is it okay to begin with simple fixed chunks, like around 1000 tokens with overlap, and then check results on a small test set?",6f2a8b3d10
Would it help to have an LLM break each doc into sections instead of using plain size-based chunking?,6f2a8b3d10
"Should I add short summaries to each chunk when indexing long documents, or is that overkill?",6f2a8b3d10
"For legal or financial PDFs, is hybrid search better than only dense embeddings so exact terms don't get missed?",6f2a8b3d10
"When you say the project should be reproducible, do reviewers actually need my API keys or hosted-service login to run it?",e5d8a2c761
What do I need to include so someone can clone my repo and rebuild the search index from scratch?,e5d8a2c761
"Is it okay to commit a .env file, or should I only add a .env.example with the variable names?",e5d8a2c761
Should I use a cheaper model in the project so reviewers don't spend too many credits when testing it?,e5d8a2c761
Do I need to lock dependency versions and mention which Python or Docker version I used?,e5d8a2c761
"Can I do the homework and capstone in a language other than Python, like JavaScript, Go, or Rust?",ea815eb858
"If I use a non-Python stack for the project, what do I need to include so the reviewer can run it?",ea815eb858
"Is Python required for all assignments in this course, or just recommended?",ea815eb858
"How detailed should the README be if I submit my capstone in something like Java, Scala, or C#?",ea815eb858
Will a project built in another language still be accepted if it is easy to install and reproduce?,ea815eb858
Where do I look if I want to see some past LLM Zoomcamp capstone projects?,930286278d
Is there a page with submitted LLM Zoomcamp projects from 2024 and 2025?,930286278d
Can I check previous project repos to get a feel for the capstone scope?,930286278d
Where are the LLM Zoomcamp project submission examples listed online?,930286278d
Do you have links to older LLM Zoomcamp projects so I can see what good capstones look like?,930286278d
"Do I need to reserve my capstone project idea before I start, or can I just go ahead with it?",897a350476
Is there any need to announce my project topic somewhere before working on the capstone?,897a350476
"Can two students do similar capstone ideas, or does the project have to be completely unique?",897a350476
"If I’m not sure about my capstone scope, where can I ask for feedback on the idea?",897a350476
Are there any past capstone examples I can check to get a better sense of what kind of project is expected?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required way to make the project available to users, or can I choose my own interface?",7318a90b14
"Would a CLI, Slack app, or even a notebook be acceptable for the project demo?",7318a90b14
"If I use a non-web interface, will that still count as long as it meets the eval criteria?",7318a90b14
"Does the course show how to build these interfaces, or do I need to figure that part out myself?",7318a90b14
What’s the best way to pull text out of PDFs for a RAG project?,d8b28c47a0
Do we need to use a specific library for OCR on scanned PDFs in the capstone?,d8b28c47a0
Which tools from the course community work well for converting PDFs into Markdown or JSON?,d8b28c47a0
"If my PDFs are just images, what can I use to get the text out?",d8b28c47a0
"Should I test a few document extraction tools first, or is there one recommended option?",d8b28c47a0
"Can I use the workshop content in my own capstone project, since dlt is open-source?",d850a0e7ea
Is it okay to reuse these workshop materials in another Zoomcamp project like MLOps?,d850a0e7ea
Can I take this dlt workshop and apply it directly to my own project work?,d850a0e7ea
Are we allowed to use the workshop resources for other projects outside this course?,d850a0e7ea
"Since dlt helps load and store data, can I just use it in my assignments or personal projects?",d850a0e7ea
How do I initialize a fresh dlt project for a filesystem source and DuckDB destination?,6bceeebf04
What command should I run to start a new dlt setup when I want to load data from cloud storage?,6bceeebf04
Is there a quick way to create a dlt pipeline project with filesystem and duckdb already configured?,6bceeebf04
Where do I begin if I want to use dlt to ingest files from cloud into DuckDB?,6bceeebf04
Which init command should I use for the filesystem tutorial in dlt?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist — what am I missing?",0407213397
What should I check in my dlt pipeline if `db.create_table(...)` is being suggested for `notion_pages___homework`?,0407213397
Could this error be caused by leaving some old `employee_handbook` name in the config even though I renamed the table to homework?,0407213397
How do I fix the missing table issue for `notion_pages___homework` in the open-source data ingestion workshop?,0407213397
Why do I get FileNotFoundError saying the notion_pages___homework table doesn’t exist when I run main()?,e95bfafc0e
"In the dlt workshop, what should I use on line 3 to open the homework table correctly?",e95bfafc0e
My code fails with 'Table notion_pages___homework does not exist' — am I opening the wrong table name?,e95bfafc0e
How do I fix the FileNotFoundError for notion_pages___homework in main() so it uses the right table?,e95bfafc0e
What is the correct db.open_table call for the homework table in this Notion pages ingestion task?,e95bfafc0e
How can I see all the tables that are currently in the database?,e394e6f738
What method should I use to get a list of table names from the db?,e394e6f738
Is there a quick way to check which tables exist in my database?,e394e6f738
How do I print out every table in the database using db?,e394e6f738
Which db method returns the available tables?,e394e6f738
"Does dlt currently support connectors for ClickHouse or StarRocks, or are those still missing?",cd19f122f3
Are there any built-in dlt connectors for ClickHouse and StarRocks yet?,cd19f122f3
"If dlt doesn’t support ClickHouse or StarRocks, can the community add them somehow?",cd19f122f3
"Is there any plan for ClickHouse or StarRocks connectors in dlt, or do they not exist right now?",cd19f122f3
"Can I use dlt with ClickHouse or StarRocks today, or do I need to wait for community-built connectors?",cd19f122f3
Why do I get a 401 Unauthorized when the notebook calls api.notion.com/v1/search?,0dfba07ace
My notebook says it doesn’t have secret access to Notion — what should I check first?,0dfba07ace
Is this error usually caused by a bad API token or a wrong Notion endpoint?,0dfba07ace
What can I do if the Notion token expired and the notebook can’t authenticate anymore?,0dfba07ace
"If all my access settings look right but Notion still returns Unauthorized, what else should I review?",0dfba07ace
"Why am I getting a 401 Client Error when trying to use the key, is it a permissions issue or the key itself?",4b30b918bc
How can I install requests from the official source if pip keeps pulling an older version?,4b30b918bc
What command should I use to force-install requests v2.32.3 for lancedb?,4b30b918bc
Is there a way to bypass the default requests install and grab the GitHub release zip directly?,4b30b918bc
"My setup keeps installing requests 2.28 instead of 2.32+, how do I fix that during this workshop?",4b30b918bc
